원본 파일,새 파일,제목,종류,색상,태그
01.png,resin-heart-mosaic-pink-01.png,핑크 하트 모자이크,레진,핑크,"하트, 모자이크, 파스텔, 큐빅믹스"
02.png,resin-star-mosaic-mint-01.png,민트 별 모자이크,레진,민트,"별, 모자이크, 파스텔, 큐빅믹스"
03.png,rhinestone-drop-clear-01.png,클리어 물방울 큐빅,큐빅,투명,"물방울, 페어컷, 크리스탈, 반짝임"
04.png,pearl-oval-white-01.png,화이트 타원 진주,진주,화이트,"타원, 진주, 클래식"
05.png,pearl-round-white-01.png,화이트 원형 진주,진주,화이트,"원형, 진주, 클래식"
06.png,pearl-cube-white-01.png,화이트 큐브 진주,진주,화이트,"큐브, 진주, 입체"
07.png,cube-yellow-01.png,옐로우 큐브 파츠,큐빅,옐로우,"큐브, 육각, 반투명, 파스텔"
08.png,rhinestone-round-aurora-01.png,오로라 원형 큐빅,큐빅,오로라,"원형, 오로라, 홀로그램, 크리스탈"
09.png,stone-star-opal-01.png,오팔 별 큐빅,큐빅,화이트,"별, 오팔, 펄, 미니"
010.png,pearl-star-pink-01.png,핑크 펄 별,진주,핑크,"별, 펄, 입체, 미니"
011.png,rhinestone-round-aurora-02.png,오로라 스캘럽 큐빅,큐빅,오로라,"원형, 오로라, 스캘럽, 크리스탈"
012.png,rhinestone-heart-aurora-01.png,오로라 하트 큐빅,큐빅,오로라,"하트, 오로라, 홀로그램, 크리스탈"
013.png,pearl-star-white-01.png,화이트 펄 별,진주,화이트,"별, 펄, 미니"
014.png,rhinestone-round-purple-01.png,와인 퍼플 원형 큐빅,큐빅,퍼플,"원형, 퍼플, 크리스탈, 딥컬러"
015.png,resin-bow-pink-01.png,핑크 글리터 리본,레진,핑크,"리본, 글리터, 파스텔, 귀여움"
016.png,rhinestone-heart-lavender-01.png,라벤더 하트 큐빅,큐빅,퍼플,"하트, 라벤더, 크리스탈, 파스텔"
017.png,glitter-star-shaker-01.png,골드·실버 쉐이커 별,글리터,투명,"별, 쉐이커, 골드, 실버"
018.png,resin-shell-aurora-01.png,오로라 조개,레진,오로라,"조개, 오로라, 홀로그램, 마린"
019.png,resin-rainbow-pastel-01.png,파스텔 무지개 구름,레진,멀티,"무지개, 구름, 진주, 파스텔"
020.png,resin-flower-pastel-01.png,파스텔 꽃 (진주 포인트),레진,멀티,"꽃, 진주, 파스텔"
021.png,resin-star-trio-pastel-01.png,파스텔 미니 별 3종,레진,멀티,"별, 세트, 파스텔, 미니"
022.png,resin-star-opal-01.png,오팔 젤리 별,레진,오로라,"별, 오팔, 오로라, 투명감"
023.png,charm-flower-pastel-01.png,파스텔 플라워 참,참,멀티,"꽃, 메탈, 필리그리, 펜던트"
024.png,resin-star-blue-01.png,블루 볼록 별,레진,블루,"별, 볼록, 파스텔, 캔디"
025.png,resin-star-ivory-01.png,아이보리 볼록 별,레진,아이보리,"별, 볼록, 파스텔, 캔디"
026.png,resin-star-pink-01.png,핑크 볼록 별,레진,핑크,"별, 볼록, 파스텔, 캔디"
027.png,glitter-star-holo-01.png,홀로그램 글리터 별,글리터,오로라,"별, 홀로그램, 글리터, 투명"
028.png,charm-flower-rosegold-01.png,로즈골드 플라워 참,참,로즈골드,"꽃, 메탈, 필리그리, 펜던트"
